Depth	TVD	ROP	WOB	RPM   Torque    SPP	GPM   Temp IN Temp Out				
464	463.99	23.93	4	117	1	1477	852	95	90
465	464.99	58.58	5	126	1	1470	855	95	90
466	465.99	37.08	4	126	1	1455	855	95	90
467	466.99	70.45	5.75	78	2	1456	715	89	90
468	467.99	40.07	3.5	78	2	1259	494	89	90
469	468.99	42.68	6.3	79	3	1459	495	89	90
470	469.99	30.94	3.62	75	2	1526	510	89	90
471	470.99	11.71	3.17	75	2	1423	508	89	90
472	471.99	14.99	2.06	74	2	1420	507	89	90
473	472.99	12.56	1.23	74	2	1236	480	89	90
474	473.99	14.78	2.94	72	3	1236	473	89	90
475	474.99	32.88	3.88	74	2	1529	491	89	90
476	475.99	28.54	2.34	73	3	687	505	89	90
477	476.99	28.02	3.02	72	3	759	522	89	90
478	477.99	25.54	4.34	73	4	1078	658	89	90
479	478.99	25.62	3.6	80	3	1221	698	89	90
480	479.99	24.62	3.21	80	3	1070	656	90	90
481	480.99	24.19	1.26	80	2	1073	656	90	90
482	481.99	23.56	4.62	76	3	910	657	90	90
483	482.99	23.06	6.81	75	4	859	656	90	90
484	483.99	22.71	5.15	74	4	968	682	90	91
485	484.99	22.32	4.79	74	4	1064	724	90	91
486	485.99	16.93	2.65	72	4	1126	752	90	91
487	486.99	15.52	6.29	73	4	1223	785	90	91
488	487.99	12.62	4.13	92	3	1184	780	90	91
489	488.99	17.44	3.14	90	3	1171	757	90	91
490	489.99	18.36	2.28	91	3	1163	774	91	91
491	490.99	14.22	2.47	63	2	819	538	91	91
492	491.99	88.27	6.03	65	2	802	678	91	91
493	492.99	45.94	4.36	69	4	811	695	91	91
494	493.99	49.52	5.96	78	4	817	658	91	91
495	494.99	96.31	8.95	79	2	823	698	91	92
496	495.99	141.55	2.29	100	3	869	789	91	92
497	496.99	42.3	5.36	106	2	1359	789	91	92
498	497.99	31.15	2.91	103	1	1345	802	91	92
499	498.99	32.58	3.34	102	2	1246	774	91	92
500	499.99	23.7	2.86	103	4	1231	772	91	92
501	500.99	26.31	3.68	97	4	1282	782	91	92
502	501.99	32.64	4.77	100	3	1383	805	91	92
503	502.99	24.24	5.77	99	3	1276	767	92	92
504	503.99	23.49	5.31	100	3	992	673	92	92
505	504.99	24.98	4.69	99	4	946	658	92	92
506	505.99	27.16	4.32	98	4	962	667	92	92
507	506.99	26.17	2.5	100	3	1077	706	92	93
508	507.99	25.12	6.22	99	4	1196	750	92	93
509	508.99	24.57	4.7	99	4	1217	755	92	93
510	509.99	24.51	6.16	97	5	1218	754	92	93
511	510.99	23.18	6.26	100	3	1216	755	92	93
512	511.99	21.02	3.95	98	4	1325	786	92	93
513	512.99	20.67	4.67	99	4	1408	810	92	93
514	513.99	20.72	3.07	100	3	1407	810	92	93
515	514.99	20.17	3.1	99	3	1416	809	92	93
516	515.99	18.73	2.18	100	3	1419	789	92	93
517	516.99	22.9	3.42	98	4	1422	810	92	93
518	517.99	23.76	2.14	99	4	1408	810	92	93
519	518.99	17.87	4.11	102	3	1429	810	92	93
520	519.99	19.94	1.86	102	3	1424	810	92	93
521	520.99	67.82	2.07	102	5	1452	812	92	93
522	521.99	65.53	1.47	100	5	1459	842	92	93
523	522.99	45.42	1.96	78	3	1489	602	92	93
524	523.99	19.33	3.67	100	3	1232	753	92	93
525	524.99	19.1	1.01	100	3	1231	752	92	93
526	525.99	73.83	2.36	102	1	1013	459	92	93
527	526.99	23.31	2.86	90	3	1458	677	92	93
528	527.99	29.1	4.14	100	4	1038	752	92	93
529	528.99	27.95	4.46	100	4	1054	751	92	93
530	529.99	28.29	6.5	98	5	1057	751	92	93
531	530.99	24.09	8.46	96	6	1067	752	92	93
532	531.99	20.04	8.09	95	6	1078	752	92	93
533	532.99	24.61	9.75	95	7	1096	757	92	93
534	533.99	30.63	9.28	97	5	1172	782	92	93
535	534.99	24.11	5.36	90	8	1102	761	92	93
536	535.99	18.94	2.58	106	4	910	679	92	93
537	536.99	12.68	1.59	105	4	910	680	92	93
538	537.99	14.73	2.48	105	4	919	680	92	93
539	538.99	21.98	4.63	105	4	920	680	92	93
540	539.99	24.5	2.96	105	4	923	680	92	93
541	540.99	22.77	5.22	105	4	922	679	91	92
542	541.99	22.33	4.29	105	4	928	679	91	92
543	542.99	19.5	3.65	105	5	928	679	91	92
544	543.99	23.37	5.64	105	4	936	679	91	92
545	544.99	23.09	5.6	105	4	935	681	91	92
546	545.99	17.37	3.92	105	4	916	677	91	92
547	546.99	18.15	2.42	105	3	912	676	91	92
548	547.99	20.57	4.26	105	4	921	679	91	92
549	548.99	20.06	4.36	105	3	945	682	91	92
550	549.99	47.16	3.42	105	4	950	682	91	92
551	550.99	11.8	2.31	103	5	471	340	91	92
552	551.99	8.28	1.02	96	5	478	340	91	92
553	552.99	86.87	1.51	100	2	873	616	91	93
554	553.99	31.62	2.42	107	4	1000	695	92	93
555	554.99	12.14	3.69	104	3	936	667	92	93
556	555.99	31.43	4.91	104	3	902	657	92	93
557	556.99	17.63	5.7	104	3	916	660	92	93
558	557.99	25.07	4.91	104	3	910	658	92	93
559	558.99	19.54	5.17	104	3	919	658	92	93
560	559.99	9.86	4.41	104	3	914	658	92	93
561	560.99	11.52	4.78	104	3	913	658	92	93
562	561.99	12.82	3.91	104	3	908	658	92	93
563	562.99	20.33	5.4	104	3	805	659	92	93
564	563.99	20.4	5.53	104	4	783	658	92	93
565	564.99	21.57	4.36	104	3	768	658	92	93
566	565.99	28.46	5.89	104	3	784	661	92	93
567	566.99	24.38	5.57	104	3	816	674	92	93
568	567.99	22.96	6.87	104	4	819	678	92	93
569	568.99	15.76	8.1	104	4	826	679	92	94
570	569.99	20.86	6.97	104	4	837	679	92	94
571	570.99	20.1	9.65	104	4	842	680	92	94
572	571.99	17.63	9.12	104	4	846	679	92	94
573	572.99	17.18	7.14	104	4	860	679	92	94
574	573.99	18.07	9.69	104	4	866	679	92	94
575	574.99	26.79	11.09	93	4	801	611	92	94
576	575.99	24.14	12.27	52	2	447	365	92	94
577	576.99	22.03	12.15	104	4	902	679	92	94
578	577.99	35.11	9.55	104	4	713	589	92	94
579	578.99	30.03	13.3	104	4	708	589	92	94
580	579.99	15.29	2.74	73	2	497	412	92	94
581	580.99	29.55	5.07	105	3	782	608	92	94
582	581.99	25.83	7.52	105	3	835	625	92	94
583	582.99	24.06	7.77	105	4	830	626	92	94
584	583.99	18.26	5.79	105	4	875	642	92	94
585	584.99	18.66	6.84	104	4	905	659	92	94
586	585.99	22.44	7.16	104	4	918	661	92	94
587	586.99	25.81	11.85	104	4	927	661	91	94
588	587.99	18.89	6.79	104	4	930	660	91	94
589	588.99	19.16	8.64	104	4	930	660	91	94
590	589.99	23.68	11.46	104	5	933	660	91	94
591	590.99	14.17	3.41	104	4	941	660	91	94
592	591.99	13.12	5.33	104	4	918	654	91	94
593	592.99	21.89	5.66	106	4	800	601	91	94
594	593.99	15.82	4.47	105	4	838	616	91	94
595	594.99	17.75	6.37	104	4	861	627	91	94
596	595.99	18.05	7.79	104	4	903	627	91	94
597	596.99	20.38	6.67	104	4	909	627	91	94
598	597.99	20.26	5.72	104	4	895	627	91	94
599	598.99	23.04	7.6	104	5	906	627	91	94
600	599.99	22.04	6.59	104	4	915	627	91	94
601	600.99	25.5	6.28	104	5	918	627	91	94
602	601.99	28.93	10.6	104	4	910	627	92	94
603	602.99	30.75	6.65	105	5	920	627	92	94
604	603.99	24.01	8.16	105	5	922	627	92	94
605	604.99	22.86	10.77	105	4	913	627	92	94
606	605.99	30.24	10.26	105	5	918	627	92	94
607	606.99	30.19	7.92	105	4	858	598	92	94
608	607.99	56.28	3.27	94	2	561	450	92	94
609	608.99	20.24	9.36	95	3	752	564	92	94
610	609.99	21.23	8.38	105	4	852	627	92	94
611	610.99	25.83	4.11	105	4	857	627	91	93
612	611.99	28.18	8.67	105	5	872	627	91	93
613	612.99	30.37	7.91	105	5	880	627	91	93
614	613.99	27.83	8.01	105	5	883	627	91	93
615	614.99	28.16	10.33	105	5	905	627	91	93
616	615.99	21.78	10	105	5	920	627	91	93
617	616.99	22.06	8.62	105	5	927	627	91	93
618	617.99	23.78	12.9	105	5	894	631	91	93
619	618.99	23.71	10.3	106	4	934	647	91	93
620	619.99	25.46	9.42	105	4	872	647	91	93
621	620.99	56.57	8.39	105	5	848	647	91	93
622	621.99	26.44	6.02	105	4	863	647	91	93
623	622.99	21.39	7.04	105	4	871	647	91	93
624	623.99	23	8.75	105	5	876	647	91	93
625	624.99	23.14	8.88	105	4	882	647	91	93
626	625.99	24.62	8.87	105	4	888	647	91	93
627	626.99	21.41	9.74	105	4	893	647	91	93
628	627.99	22.4	6.34	105	4	893	647	91	93
629	628.99	22.15	7.5	105	5	901	647	91	93
630	629.99	22.15	9.44	105	5	903	647	91	93
631	630.99	25.33	5.61	105	4	919	647	91	93
632	631.99	20.29	8.41	105	5	919	647	91	93
633	632.99	20.66	5.16	105	4	925	647	91	93
634	633.99	17.27	12.89	63	2	570	417	91	93
635	634.99	28.54	3.62	106	3	946	641	91	93
636	635.99	25.52	7.26	106	4	946	627	91	93
637	636.99	23.96	7.67	106	4	855	609	91	93
638	637.99	22.16	2.21	106	3	785	598	91	93
639	638.99	34.09	3.78	106	4	779	598	91	93
640	639.99	14.71	9.3	106	4	631	531	91	93
641	640.99	21.89	3.96	106	4	650	529	91	93
642	641.99	18.87	2.49	106	5	656	530	91	93
643	642.99	17.67	6.2	106	4	656	529	91	93
644	643.99	15.57	3.41	106	4	653	529	91	93
645	644.99	28.77	9.9	106	5	663	529	91	93
646	645.99	23.97	9.9	106	5	669	529	91	93
647	646.99	23.43	9.63	106	5	622	530	91	93
648	647.99	22.83	11.38	106	5	583	529	91	93
649	648.99	19.83	10	106	5	575	530	91	93
650	649.99	20.1	10.1	106	5	566	529	91	93
651	650.99	21.92	9.06	106	5	574	530	91	92
652	651.99	20.47	8.13	106	4	584	529	91	92
653	652.99	21.44	7.74	106	5	581	530	91	92
654	653.99	22.69	7.78	106	5	587	530	91	92
655	654.99	23.78	12.57	106	5	595	529	91	92
656	655.99	22.53	9.36	106	5	602	529	91	92
657	656.99	21.63	10.69	106	5	602	529	91	92
658	657.99	21.92	10.83	106	5	608	529	91	92
659	658.99	24.59	11.07	106	5	601	530	91	92
660	659.99	29.97	11.7	106	6	631	529	91	92
661	660.99	27.07	12.99	106	6	632	530	91	92
662	661.99	19.31	11.66	106	4	648	529	91	92
663	662.99	12.03	1.35	108	3	682	530	91	92
664	663.99	12.36	28.9	105	3	789	256	91	92
665	664.99	23.69	37.72	106	3	780	140	91	92
666	665.99	23.6	38.79	103	4	756	140	91	92
667	666.99	23.6	42.6	102	2	789	140	91	92
668	667.99	52.75	91.83	106	3	784	153	91	92
669	668.99	62.67	27.57	109	2	789	182	91	92
670	669.99	14.53	3.42	105	4	833	609	91	92
671	670.99	8.86	4.33	104	3	843	629	91	92
672	671.99	10.36	4.31	102	3	784	609	91	92
673	672.99	15.27	9.27	101	5	713	574	91	92
674	673.99	11.42	11.07	100	5	670	551	92	92
675	674.99	12.68	12	101	5	654	551	92	92
676	675.99	60.74	26.71	101	0	789	218	92	92
677	676.99	55.87	23.83	100	1	780	255	92	92
678	677.99	14.75	9.93	101	5	660	551	92	92
679	678.99	22.69	10.96	100	6	712	572	92	92
680	679.99	60.53	67.55	105	1	789	231	92	92
681	680.99	62.22	68.88	102	0	780	147	92	92
682	681.99	48.84	19.33	103	0	769	190	92	92
683	682.99	48.84	19.92	102	0	725	190	92	92
684	683.99	45.61	18.54	100	0	698	231	92	92
685	684.99	18.72	13.05	100	6	832	604	92	93
686	685.99	16.04	1.25	102	3	873	616	92	93
687	686.99	17.82	3.65	103	4	911	624	92	93
688	687.99	19.39	6.46	105	4	912	624	92	93
689	688.99	14.18	3.62	104	4	905	624	92	93
690	689.99	15.37	9.06	101	5	876	610	92	93
691	690.99	20.7	7.23	103	4	911	624	92	93
692	691.99	18.54	5.77	103	4	880	622	92	93
693	692.99	17.21	4.44	103	3	867	621	92	93
694	693.99	12.84	4.77	103	4	824	598	92	93
695	694.99	12.46	3.48	103	3	833	598	92	93
696	695.99	16.51	4.82	103	4	830	598	92	93
697	696.99	18.44	5.92	104	4	845	594	92	93
698	697.99	21.85	5.22	104	3	865	587	92	93
699	698.99	23.42	9.17	102	4	862	589	92	93
700	699.99	23.83	6.7	102	5	905	600	92	93
701	700.99	21.86	10.4	102	5	906	601	92	93
702	701.99	20.04	11.87	102	5	928	603	92	93
703	702.99	10.56	12.06	103	4	866	595	92	93
704	703.99	12.03	15.97	103	4	723	551	92	93
705	704.99	21.43	14.91	102	6	738	551	92	93
706	705.99	19.53	14.58	101	5	740	549	92	93
707	706.99	18.37	13.3	101	4	843	559	92	93
708	707.99	19.17	18.06	100	5	871	563	92	93
709	708.99	15.32	17.98	100	5	933	594	92	93
710	709.99	19.4	20.2	99	6	970	624	92	93
711	710.99	15.2	18.52	99	6	915	621	92	93
712	711.99	12.3	17.28	100	5	909	621	92	93
713	712.99	13.99	20.48	99	6	909	621	92	93
714	713.99	16.43	19.98	100	5	910	621	92	93
715	714.99	16.27	21.71	99	6	913	621	92	93
716	715.99	24.56	11.75	90	3	800	589	92	93
717	716.99	22.04	13.37	103	4	722	580	92	93
718	717.99	24.53	15.61	102	5	787	619	92	93
719	718.99	21.29	15.73	102	5	973	681	93	93
720	719.99	23.3	13.53	104	5	1127	727	93	93
721	720.99	21.02	17.8	103	5	1194	746	93	93
722	721.99	22.3	17.88	101	5	1205	764	93	93
723	722.99	19.91	16.38	102	5	1167	741	93	93
724	723.99	36.79	17.44	103	5	1031	684	93	93
725	724.99	16.87	16.93	101	5	1309	787	93	93
726	725.99	16.93	18.17	103	5	884	614	93	93
727	726.99	23.71	15.78	105	5	689	541	93	93
728	727.99	22.46	16.6	105	6	702	540	93	93
729	728.99	23.11	16.15	105	5	712	540	93	93
730	729.99	23.82	14.85	105	6	710	540	93	93
731	730.99	23.66	17.49	105	5	711	540	93	93
732	731.99	23.3	15.96	105	6	815	570	93	93
733	732.99	23.06	22.49	105	6	887	595	93	93
734	733.99	22.81	19.32	105	6	943	612	93	93
735	734.99	21.52	17.22	105	6	940	611	93	93
736	735.99	22.88	20.47	105	6	865	606	93	93
737	736.99	21.55	16.03	105	6	781	575	93	93
738	737.99	19.44	15.42	105	5	863	598	93	93
739	738.99	20.63	17.06	105	5	886	601	93	93
740	739.99	22.01	16.77	105	5	947	603	93	93
741	740.99	24.28	16.7	105	5	964	604	93	93
742	741.99	21.73	13.94	105	6	953	603	93	93
743	742.99	20.54	18.05	105	5	902	601	93	93
744	743.99	21.54	19.6	105	6	895	601	93	93
745	744.99	20.69	18.85	105	6	848	584	93	93
746	745.99	19.72	21.62	105	7	751	562	93	93
747	746.99	19.96	17.17	105	5	771	555	93	93
748	747.99	21.6	18.51	105	5	786	557	93	94
749	748.99	20.34	16.04	105	5	795	557	93	94
750	749.99	18.97	14.38	100	4	726	501	93	94
751	750.99	8.32	4	102	0	150	111	93	94
752	751.99	31.27	5.18	102	0	211	167	93	94
753	752.99	49.57	27.18	103	5	671	497	93	94
754	753.99	32.47	15.98	105	7	725	551	93	94
755	754.99	16.32	1.65	103	1	138	110	93	94
756	755.99	10.24	2	102	2	83	60	93	94
757	756.99	11.04	19.06	105	5	765	555	93	94
758	757.99	13.95	26	103	7	830	589	93	94
759	758.99	16.49	17.85	102	5	882	619	93	94
760	759.99	2.35	20.12	103	7	1292	733	93	94
761	760.99	9.91	23.89	105	7	1330	740	93	94
762	761.99	11.56	24.57	103	6	1248	712	93	94
763	762.99	35.31	12.44	101	5	875	598	93	94
764	763.99	39.89	20.74	105	4	884	598	93	94
765	764.99	21.73	10.46	105	3	933	598	93	94
766	765.99	38.51	3.6	105	5	886	598	93	94
767	766.99	9.63	3.9	99	4	882	598	93	94
768	767.99	17.46	5.4	105	4	968	601	92	94
769	768.99	19	6.3	105	5	1037	601	92	94
770	769.99	18	7	104	5	1060	601	92	94
771	770.99	16	6.5	93	5	1133	601	92	94
772	771.99	14	8	99	5	1144	601	92	94
773	772.99	13	7.5	104	5	1161	601	92	94
774	773.99	15	6	104	6	1178	601	92	94
775	774.99	17	7	105	5	1347	603	92	94
776	775.99	16	8	106	5	1442	604	92	94
777	776.99	16.08	8.1	106	5	1468	604	92	94
778	777.99	15	7.5	106	6	1376	604	92	94
779	778.99	9.5	6	63	3	853	426	92	95
780	779.99	6.69	17.48	106	5	1470	637	92	95
781	780.99	9.27	19.1	106	4	1727	709	92	95
782	781.99	14.53	15.23	106	4	1829	770	92	95
783	782.99	6.04	18.55	106	5	1719	768	92	95
784	783.99	9.85	14.8	106	4	1932	801	92	95
785	784.99	16.15	16.41	106	4	1961	811	92	95
786	785.99	14.6	17.4	106	5	1983	811	92	95
787	786.99	12.68	20.83	107	5	1994	811	92	95
788	787.99	6.85	20.89	107	6	2061	810	92	95
789	788.99	9.56	21.96	103	5	2152	811	92	95
790	789.99	12.26	21.87	102	6	2166	811	92	95
791	790.99	10.07	18.25	107	5	2177	811	92	95
792	791.99	8.94	19.45	107	6	2181	810	92	95
793	792.99	15.36	19.84	107	5	2175	811	92	95
794	793.99	11.11	22.19	107	5	2199	811	92	95
795	794.99	3.58	18.68	106	5	2206	811	92	95
796	795.99	12.63	23.06	107	6	2231	810	92	95
797	796.99	9.89	22.76	108	6	2059	812	92	95
798	797.99	11.25	24.76	108	5	2063	811	92	95
799	798.99	14.52	21	108	5	2118	811	92	95
800	799.99	21.43	14.1	97	7	1914	730	92	95
801	800.99	58.01	10.12	108	7	1895	746	92	95
802	801.99	143.96	4.07	109	5	1568	659	92	95
803	802.99	58.2	4.72	108	6	1631	673	92	95
804	803.99	21.35	6.36	108	5	1652	676	92	95
805	804.99	11.66	5.09	108	5	1662	676	92	95
806	805.99	10.31	15.3	108	4	1658	677	92	95
807	806.99	9.95	4.33	108	3	1679	679	92	95
808	807.99	17.22	5.27	108	4	1688	679	92	95
809	808.99	16.9	5.72	108	4	1697	679	92	95
810	809.99	11.72	26.57	75	3	1177	475	92	95
811	810.99	14.44	15	86	2	1392	548	92	95
812	811.99	12.63	12	75	2	1226	479	92	95
813	812.99	73.04	13.2	86	2	1360	548	92	95
814	813.99	59.29	8.96	109	5	1828	713	92	95
815	814.99	18.59	10.05	108	5	1779	720	92	95
816	815.99	20.65	8.35	108	5	1788	720	92	95
817	816.99	20.94	9.47	108	5	1784	720	92	95
818	817.99	20.56	8.52	108	5	1793	720	92	95
819	818.99	20.75	10.1	108	5	1825	720	92	95
820	819.99	18.04	8.72	108	5	1807	720	92	95
821	820.99	18	7.53	108	5	1813	720	93	95
822	821.99	21.75	9.01	108	5	1836	720	93	95
823	822.99	21.97	8.72	108	5	1840	720	93	95
824	823.99	22.09	12.39	108	6	1837	720	93	95
825	824.99	22.71	10.01	108	5	1858	720	93	95
826	825.99	17.4	10.05	108	5	1865	720	93	95
827	826.99	17.83	8.44	108	5	1870	720	93	95
828	827.99	19.94	10.71	108	5	1919	720	93	95
829	828.99	21.17	8.68	108	5	1923	720	93	95
830	829.99	20.55	9.77	108	5	1902	720	93	95
831	830.99	20.68	11.34	108	5	1893	720	93	95
832	831.99	19.63	9.17	108	5	1893	720	93	95
833	832.99	20.19	10.22	108	5	1880	720	93	95
834	833.99	21	9.76	108	5	1901	720	93	95
835	834.99	19.3	10.4	108	5	1934	720	93	95
836	835.99	23.08	16.41	108	6	1917	720	93	95
837	836.99	19.44	14.81	108	6	1902	720	93	95
838	837.99	23.6	13.3	108	5	1872	720	93	95
839	838.99	24.64	13.28	108	6	1857	720	93	95
840	839.99	23.15	2.65	108	4	1762	720	93	95
841	840.99	20.81	8.99	108	4	1586	720	93	95
842	841.99	21.12	10.08	108	4	1565	720	93	95
843	842.99	22.23	11.71	108	4	1575	720	93	95
844	843.99	23.96	10.46	108	4	1610	720	93	95
845	844.99	22.47	10.41	108	4	1660	720	93	95
846	845.99	23.14	12.21	108	4	1737	720	93	95
847	846.99	21.96	8.21	108	4	1788	720	93	95
848	847.99	15.2	7.59	107	4	1469	630	93	95
849	848.99	20.61	6.67	107	4	1402	613	93	95
850	849.99	22.65	6.61	107	4	1576	648	93	95
851	850.99	22.25	9.62	107	4	1678	667	93	95
852	851.99	30.2	9.43	107	4	1708	668	93	95
853	852.99	28.71	8.06	107	4	1881	709	93	95
854	853.99	23.73	9.97	107	4	1826	717	93	95
855	854.99	26.15	6.82	107	4	1734	717	93	95
856	855.99	24.93	12.37	107	4	1724	717	93	95
857	856.99	22.38	7.02	107	3	1808	717	93	95
858	857.99	19.24	8.28	107	4	1824	717	93	95
859	858.99	26.2	7.38	107	3	1822	710	93	95
860	859.99	25.76	6.26	107	4	1467	632	93	95
861	860.99	22	4.91	108	3	1412	621	93	95
862	861.99	22.74	6.87	108	3	1654	656	93	95
863	862.99	23.61	5.58	107	3	1845	691	93	95
864	863.99	23.33	4.9	107	3	1872	695	93	95
865	864.99	16.26	5.32	107	3	1877	697	93	95
866	865.99	21.62	4.36	92	3	1619	621	93	95
867	866.99	28.29	4.76	108	4	2012	720	93	95
868	867.99	23.72	5.4	108	6	2024	720	93	95
869	868.99	20.5	6.49	108	6	2032	720	93	95
870	869.99	21.37	4.29	108	4	2050	720	93	95
871	870.99	21.55	6.79	108	3	2049	719	93	95
872	871.99	35.48	5.91	108	4	1999	720	93	95
873	872.99	22.46	4.92	107	4	1655	636	93	95
874	873.99	20.01	5.12	107	3	1531	612	93	95
875	874.99	35.39	3.52	108	3	1587	716	93	95
876	875.99	22.42	4.9	107	3	1573	716	93	95
877	876.99	21.68	3	107	3	1576	716	93	95
878	877.99	27.55	3.54	107	4	1580	716	93	95
879	878.99	22.93	3.59	107	4	1580	716	93	95
880	879.99	26.92	3.22	107	4	1567	715	93	95
881	880.99	22.89	4.15	107	3	1557	715	93	95
882	881.99	22.13	7.1	107	4	1564	715	93	95
883	882.99	20.27	4.11	107	6	1558	715	93	95
884	883.99	20.8	5.8	107	7	1559	715	93	95
885	884.99	20.44	6.86	107	9	1559	715	93	95
886	885.99	28.72	7.82	107	6	1553	716	93	95
887	886.99	27.55	7.2	107	6	1515	715	93	95
888	887.99	25.09	6.25	107	4	1518	715	93	95
889	888.99	22.15	2.42	107	4	1644	738	93	95
890	889.99	23.52	4.48	107	8	1684	740	93	95
891	890.99	28.46	6.39	107	8	1751	760	93	95
892	891.99	22.78	5.2	107	6	1837	785	93	95
893	892.99	17.94	4	107	5	1476	627	93	95
894	893.99	147.53	5	107	3	1672	703	93	95
895	894.99	20.59	6	108	3	1852	766	93	95
896	895.99	22.29	3	107	4	1647	767	93	95
897	896.99	27.74	4	107	5	1556	769	93	95
898	897.99	26.26	4.11	107	4	1531	768	93	95
899	898.99	26	2.84	107	4	1548	768	93	95
900	899.99	26.56	4.01	107	4	1582	777	93	95
901	900.99	27.55	6.12	107	4	1606	787	93	95
902	901.99	25.19	6.11	107	4	1641	787	93	95
903	902.99	26.11	3.59	107	4	1673	789	93	95
904	903.99	35.22	7.5	107	4	1682	788	93	95
905	904.99	30.77	6.68	107	4	1701	788	93	95
906	905.99	32.16	6.55	107	4	1681	789	93	95
907	906.99	30.98	7.38	107	4	1707	787	93	95
908	907.99	34.17	6.15	107	5	1750	787	93	95
909	908.99	26.25	5.39	107	6	1779	787	93	95
910	909.99	24.4	5.23	107	4	1771	787	93	95
911	910.99	29.14	5	107	4	1788	789	93	95
912	911.99	36.35	6.7	107	4	1785	787	93	95
913	912.99	35.22	6.11	107	4	1772	772	93	95
914	913.99	41.7	6.95	107	5	1774	782	93	95
915	914.99	39.83	5	107	5	1775	777	93	95
916	915.99	35.64	6	107	6	1812	775	93	95
917	916.99	40.96	5	107	5	1810	775	93	95
918	917.99	50.66	6	107	5	1758	775	93	95
919	918.99	38.89	6	107	5	1741	775	93	95
920	919.99	22.16	5	107	3	1133	789	93	95
921	920.99	36.85	5	107	4	952	789	93	95
922	921.99	23.25	3	107	5	1659	789	93	95
923	922.99	17.76	4	107	5	1695	789	93	95
924	923.99	17.08	6.06	108	4	1646	780	93	95
925	924.99	3.73	5	32	3	1500	780	93	95
926	925.99	22	6	107	4	1500	742	93	95
927	926.99	22.98	5	107	5	1496	740	93	95
928	927.99	18.28	5.62	107	4	1064	740	93	95
929	928.99	12.09	5	107	4	1500	740	93	95
930	929.99	0	5	107	4	1500	740	93	95
931	930.99	12.09	5	107	4	1500	740	93	95
932	931.99	12.09	6	107	4	1500	740	93	95
933	932.99	2.23	5	107	4	1500	148	93	95
934	933.99	25.31	5	107	5	1511	740	93	95
935	934.99	24.55	5.65	107	5	1547	743	93	95
936	935.99	23.18	4.93	107	5	1498	741	93	95
937	936.99	23.79	3.02	107	5	1404	738	93	95
938	937.99	21.83	4.02	107	5	1392	737	93	95
939	938.99	22.76	4.71	107	5	1395	737	93	95
940	939.99	23.42	7.08	107	5	1345	717	93	95
941	940.99	24.43	4.07	107	5	1282	691	93	95
942	941.99	24.68	5	107	5	1309	691	93	95
943	942.99	24.73	6.63	107	5	1307	691	93	95
944	943.99	25.7	5.67	107	5	1318	663	93	95
945	944.99	84.27	5	109	5	1318	663	93	95
946	945.99	206.25	6	109	5	1318	663	93	95
947	946.99	86.37	5	109	5	1318	663	93	95
948	947.99	7.48	5	109	5	1318	663	93	95
949	948.99	27.02	4.6	107	5	1305	655	93	95
950	949.99	24.96	4.44	107	5	1343	668	93	95
951	950.99	22.73	4.29	107	10	1370	671	92	94
952	951.99	22.21	6.02	102	8	1057	570	92	94
953	952.99	62.2	8.36	102	7	1023	290	92	94
954	953.99	40.42	6.37	86	5	1129	577	92	94
955	954.99	22.65	4.64	108	6	1255	618	92	94
956	955.99	25.86	5.73	107	6	1253	618	92	94
957	956.99	25.67	5.2	107	6	1260	618	92	94
958	957.99	24.8	5	107	8	1255	618	92	94
959	958.99	24.77	4.99	107	6	1294	634	92	94
960	959.99	26.69	8	107	8	1314	642	92	94
961	960.99	24.79	7.04	107	8	1313	642	92	94
962	961.99	17.18	2.74	107	8	1318	642	92	94
963	962.99	21.18	5	107	8	1265	642	92	94
964	963.99	22.94	6.51	107	9	1266	642	92	94
965	964.99	25.27	8	107	7	1266	642	92	94
966	965.99	20.26	7.14	107	8	1245	642	92	94
967	966.99	21.14	8.66	107	14	1239	642	92	94
968	967.99	21.22	8.54	107	9	1240	642	92	94
969	968.99	25.48	6	74	7	1236	449	92	94
970	969.99	19.86	8	96	9	1111	577	92	94
971	970.99	26.11	6.65	107	6	1246	642	92	94
972	971.99	25.28	7	107	7	1282	642	92	94
973	972.99	22.44	6	107	7	1282	642	92	94
974	973.99	26.24	7.72	107	7	1286	642	92	94
975	974.99	26.14	8	107	7	1280	642	92	94
976	975.99	25.26	7.83	107	5	1259	642	93	94
977	976.99	25.28	6.97	107	5	1254	642	93	94
978	977.99	25.03	5.55	107	5	1250	642	93	94
979	978.99	25.14	6	107	4	1243	642	93	94
980	979.99	19.91	8	85	4	1236	514	93	94
981	980.99	38.78	7	43	5	1256	269	93	95
982	981.99	25.66	6	108	6	1101	694	93	95
983	982.99	22.67	7	108	6	1016	699	93	95
984	983.99	25.56	6	108	6	1048	713	93	95
985	984.99	22.22	7	108	6	1256	691	93	95
986	985.99	22.07	8	109	6	1386	736	93	95
987	986.99	22.03	7	110	6	1516	740	93	95
988	987.99	24.87	6	110	7	1408	717	93	95
989	988.99	26.61	7	110	6	1287	691	93	95
990	989.99	25.46	6	110	7	1266	691	93	95
991	990.99	23.84	5	110	7	1295	691	93	95
992	991.99	26.74	6	110	7	1293	691	93	95
993	992.99	22.11	7	110	5	1302	691	93	95
994	993.99	20.71	8	110	6	1314	691	93	95
995	994.99	20.55	7	110	6	1315	691	93	95
